date,est_surface_area
2013-06-03,64710900
2013-07-05,50086800
2013-07-21,46838700
2013-09-07,37703700
2013-09-23,36655200
2013-10-25,36035100
2013-11-10,33130800
2013-12-12,606600900
2013-12-28,27789300
2014-01-13,29065500
2014-03-18,35835300
2014-06-06,36913500
2014-06-22,35373600
2014-07-24,31263300
2014-08-09,29250000
2014-09-10,26892900
2014-10-12,25673400
2014-10-28,23843700
2015-03-05,36925200
2015-06-25,33050700
2015-07-27,29106000
2015-08-12,27588600
2015-09-29,25874100
2015-10-31,25426800
2016-05-10,60464700
2016-06-27,55790100
2016-07-13,52338600
2016-07-29,47832300
2016-08-14,43284600
2016-08-30,40138200
2016-09-15,37921500
2016-10-01,35675100
2016-11-18,36889200
2017-06-30,47340900
2017-07-16,46157400
2017-08-01,43783200
2017-08-17,40482900
2017-09-02,37210500
2017-10-04,29339100
2017-12-07,27657000
2018-04-14,46232100
2018-06-01,47273400
2018-08-04,40686300
2018-09-05,35403300
2018-09-21,32787900
2018-10-07,30865500
2018-11-08,27092700
2019-03-16,51243300
2019-04-17,56162700
2019-06-04,60819300
2019-07-06,59423400
2019-07-22,57905100
2019-08-23,52576200
2019-09-08,49987800
2019-09-24,48258000
2019-10-10,44179200
2019-10-26,43887600
2020-04-03,46014300
2020-05-21,48561300
2020-06-22,45295200
2020-07-08,43256700
2020-07-24,41022900
2020-08-09,39006000
2020-10-12,282113100
2020-10-28,284639400
2021-05-08,326043900
2021-06-25,28739700
2021-07-11,26084700
2021-08-28,10433700
2021-09-13,21088800
2021-09-29,21303000
2021-10-15,20900700
2021-12-02,23405400
2022-04-09,38015100
2022-06-28,38969100
2022-07-14,35263800
2022-08-15,32121000
2022-08-31,31028400
2022-09-16,29728800
2022-10-02,28924200
